,parent_asin,title,price,average_rating,metadata
10,B08GK7J9XN,"ZHK Compatible with iPhone 12 Pro Max Case for Women, Marble 3 Layer Heavy Duty Shockproof Cute Girls Anti-Scratch Protective Case Cover for iPhone 12 Pro Max (6.7 inch, 2020) –Rose Gold",-1.0,4.3,"zhk  zhk compatible with iphone 12 pro max case for women, marble 3 layer heavy duty shockproof cute girls anti-scratch protective case cover for iphone 12 pro max (6.7 inch, 2020) –rose gold  "
11,B00JI55D2I,"BCSLINE Outdoor Exercise Jogging Armband Case, Premium Running Sports Gym Workout Case/Cover For Motorola DROID ULTRA,Color:Blue, Cleaning Cloth Free Gift.",-1.0,3.2,"bcscasek cell phones & accessories cases, holsters & sleeves armbands bcsline outdoor exercise jogging armband case, premium running sports gym workout case/cover for motorola droid ultra,color:blue, cleaning cloth free gift. practical&beautiful high quality armband exercise your right to a great soundtrack with this ultimate workout armband case durable, lightweight armband case keeps your phone secure and protected. adjustable velcro armband gives you the versatility of carrying your phone in a variety of ways. heavy duty see-through faceplate allows you to view and access your phone while still in the pouch. features: carry your phone around with style!exercise your right to a great soundtrack with this ultimate workout armband case package: 1 x sports armband. not include the cell phone. 1 x bcsline cleaning cloth,color:randomly ."
12,B06XW2NJH2,"iPhone 6S Plus Case,iPhone 6 Plus Case,KAKA[Heavy Duty]Three Layers Rugged Armor Shockproof Soft Silicone Anti-Scratch Hard PC Hybrid Protective Case for iPhone 6 Plus/6s Plus,Flower 2 Black",-1.0,4.0,"kaka  iphone 6s plus case,iphone 6 plus case,kaka[heavy duty]three layers rugged armor shockproof soft silicone anti-scratch hard pc hybrid protective case for iphone 6 plus/6s plus,flower 2 black  "
13,B0B8ZBCCY6,"WSKEN for Samsung Galaxy Z Fold 4 Camera Lens Protector Case Cover, Anti Scratch HD Tempered Metal Glass Camera Screen Protector Shockproof Film for Galaxy Z Fold 4 5G 2022 Accessories,Gold",11.99,4.5,"wsken cell phones & accessories accessories maintenance, upkeep & repairs screen protectors wsken for samsung galaxy z fold 4 camera lens protector case cover, anti scratch hd tempered metal glass camera screen protector shockproof film for galaxy z fold 4 5g 2022 accessories,gold compatibility: the aluminum alloy metal 9h tempered glass camera lens protector is designed for samsung galaxy z fold 4 5 g 2022.fit almost z fold 4 case.(note!!! no for accurate hole case) anti reflection & highly clear: made of highly transparent 9h tempered glass and 99.99% optical-grade light transmittance, effectively blocking and filtering ultraviolet rays, will not effect the quality of photograph. no residue, no fog, no blue light is caused when using flash. full coverage & drop-proof & scratch-proof: made of 3 single individual aviation aluminum metal ring,superior 9h tempered glass that is scratch resistant and shatterproof protecting your camera lens from scratches to high impact drops.it necessary to protect your galaxy z fold 4 camera lens from damage and scratches with the lovely lens ring. individual camera lens with install kit: the delicate and precise spiral pattern of protector de pantalla z fold 4 produces fascinating reflections and the unbeatable shine in any light. protecting your lens while making decoration.come with install kit, 3d texture, multicolor lens protector ring cover matches your style. easy installation & bubble free alignment: the unique design of our lens protector snaps precisely and securely into place.kindly scan the code (which obove the packing box) to watch the video to learn to install. "
14,B07NWTB6P1,MMOBIEL Earspeaker Light Sensor Flex Cable Incl Mic Compatible with iPhone Xs Max 6.5 inch incl. Screwdrivers,11.99,4.2,"mmobiel cell phones & accessories accessories maintenance, upkeep & repairs replacement parts mmobiel earspeaker light sensor flex cable incl mic compatible with iphone xs max 6.5 inch incl. screwdrivers mmobiel earspeaker light sensor flex cable incl mic compatible with iphone xs max 6.5 inch earpiece sound listening assembly incl. screwdrivers complete set: set includes 3 x screwdriver 1 x pentalobe 1 x cross 1 x 0. 6. tri-point. important! by replacing this assembly, you will permanently lose the face id function. compatible with iphone xs max 6. 5 inch a1921/ a2101/ a2102/ a2104 (all carriers) ! important: please check the model number of your device before purchasing this item. you will find the model number on your device and / or in the settings. easy installation:  accurate replacement part used to replace the broken damaged part! perfect fit. you do not need a technician to do it. high quality product by mmobiel: each parts are tested before shipment. item in stock! mmobiel earspeaker light sensor flex cable incl mic compatible with iphone xs max 6.5 inch earpiece sound listening assembly incl. screwdrivers complete set: set includes 3 x screwdriver 1 x pentalobe 1 x cross 1 x 0. 6. tri-point. important! by replacing this assembly, you will permanently lose the face id function. compatible with iphone xs max 6. 5 inch a1921/ a2101/ a2102/ a2104 (all carriers) ! important: please check the model number of your device before purchasing this item. you will find the model number on your device and / or in the settings. easy installation:  accurate replacement part used to replace the broken damaged part! perfect fit. you do not need a technician to do it. high quality product by mmobiel: each parts are tested before shipment. item in stock!"
15,B00SX5JWSK,CP 2-In-1 Hard Hybrid Silicone Case with Diamond Stud for Huawei Tribute/Y536A1 - Non-Retail Packaging - Red/Black,-1.0,5.0,"cp  cp 2-in-1 hard hybrid silicone case with diamond stud for huawei tribute/y536a1 - non-retail packaging - red/black made with high quality silicone skin/plastic hard case. personalize and protector your cellphone with this two materials stylish cover. no tool or instructions needed to install. perfect fit for huawei tribute/y536a1 2 in 1 silicone skin and hard shield fusion case, protect your phone from scratches and drops."
16,B08C82CVM2,Peace Love Sunshine Sunflower PopSockets PopGrip: Swappable Grip for Phones & Tablets,14.99,4.5,"peonily designs cell phones & accessories accessories stands peace love sunshine sunflower popsockets popgrip: swappable grip for phones & tablets peace love sunshine features a peace sign, a heart & a sunflower. cute sunflower for women, men, kids, girls, wife, sister, daughter, mom, sunflower lovers or anyone who love sunshine do you or someone you know love sunshine and sunflower? then get this sunflower lover gifts for birthday, summer, christmas or holiday present or everyday. popgrip with swappable top; switch out your poptop for another design or remove it completely for wireless charging capabilities. (not compatible with apple magsafe wireless charger or magsafe wallet.) expandable stand to watch videos, take group photos, facetime, and skype handsfree. advanced adhesive allows you to remove and reposition on most devices and cases. note: will not stick to some silicone, waterproof, or highly textured cases. works best with smooth, hard plastic cases. will adhere to iphone 11, but not to the iphone 11 pro nor the iphone 11 promax without a suitable case. what are popsockets? popsockets are expanding grips and stands that attach to most phones, tablets, and cases. add a single popsocket, or a pair of popsockets, to the back of almost any mobile device to transform its capabilities. popsockets ""pop"" whenever you need a grip, a stand, an earbud-management system, or just something to play with. remove your popsocket by pulling slowly on the base; you can reposition and reattach time and time again. you'll always have the exact grip or stand you need."
17,B07YTYFBCT,"[2 Pack] Camera Screen Protector for iPhone 11 Pro / 11 Pro Max 5.8/6.5 Inch (2019), 0.3MM Thin Organic Tempered Glass Camera Lens Protector for iPhone 11 Pro Max (Gold)",-1.0,3.7,"smapp cell phones & accessories accessories maintenance, upkeep & repairs screen protectors [2 pack] camera screen protector for iphone 11 pro / 11 pro max 5.8/6.5 inch (2019), 0.3mm thin organic tempered glass camera lens protector for iphone 11 pro max (gold) 【cut precisely】specially designed for iphone 11 pro max (6.5 inch 2019) and iphone 11 pro (5.8 inch 2019) camera lens. 【high transparency】high-definition and transparent, does not affect the video shooting effect,let you have a good visual experience. high transparency ensures the original high resolution of pictures and videos. 【easy to install】wipe the lens,peel off the entire bottom without touching the viscous circle,carefully align the space to set the lens protector on the camera lens of the mobile phone. 【maximum protection】this is soft tempered glass material, ( not plastic material) high durability, scratch resistance - surface hardness 9h. no bubbles will be generated and no residues will be left after removal. not leave fingerprints. 【service】we provide 24-hour customer service, 30-day return and refund policy for you. if you have any questions, please contact our customer service staff before leaving a comment, you will solve your problem within 24 hours.thank you very much! "
18,B01MTQ79AT,"Moto E (2nd Gen) Case, khytech [Cash Slots] [Photo booth] Smooth Scrub Leather Back Magnetic Wallet Case Cover for Motorola Moto E (2nd Generation) [Green]",-1.0,4.0,"khytech  moto e (2nd gen) case, khytech [cash slots] [photo booth] smooth scrub leather back magnetic wallet case cover for motorola moto e (2nd generation) [green] this case is fit for motorola moto e (2nd generation) ,not fit for other models!! if you need other model ,please search ""khytech"" ,you can find what you need. 100% brand new,high quality the case designed for special occasions, where you want to keep your phone, photo, credit cards and your cash in a light weight bag. quick fasten and access without any hassle, keep the case closed when not in use, ultra-thin design without bulky feel. built as a debit or credit card carrier, it is very effective for securing all types of cards and currency notes you can carry. "
19,B00OZF3MBA,Natural real italian Leather Case for Apple Iphone 6 Book Wallet Cover Handmade!,-1.0,4.6,"polare cell phones & accessories iphone accessories natural real italian leather case for apple iphone 6 book wallet cover handmade! handmade natural cowhide leather stand case fit apple iphone 6(4.7inch).the leather are imported from italy phone holder is made of silicone,it is stitch with the case.never worry it will fall apart from the wallet. the top slot with a see-through plastic cover is perfect for a drivers license or other type of id tough stitching.lines are straight,quality leather hand made by professional artisans.it will only get better with age.imbedded leather casing for additional grip and protection against drops. material: genuine cowhide leather  package include:1xiphone 6(4.7inch) cover  product features:  easy to insert and remove.  design to perfectly fit your phone."
20,B075363DS2,Caseology Apex for Apple iPhone 8 Case (2017) / for iPhone 7 Case (2016) - Burgundy,-1.0,4.5,"caseology cell phones & accessories cases, holsters & sleeves basic cases caseology apex for apple iphone 8 case (2017) / for iphone 7 case (2016) - burgundy slim modern case with geometric design and dual layer protection durable combination of impact resistant pc frame + shock absorbing tpu cover responsive button covers, precise cutouts and raised lip & camera bezel protection slim cover that provides complete coverage against the occasional drop caseology apex designed for apple iphone 8 case / designed for apple iphone 7 case "
21,B07KCDF1T7,"Arrkn Car Phone Mount, Both Modes (Air Vent/CD Slot) One-Touch Design Universal Car Holder for Google Nexus, iPhone Xs/Xr/8Plus/7/6s//5S, Galaxy S5/S6/S7/S8, Huawei and More",-1.0,3.6,"arrkn cell phones & accessories accessories automobile accessories cradles arrkn car phone mount, both modes (air vent/cd slot) one-touch design universal car holder for google nexus, iphone xs/xr/8plus/7/6s//5s, galaxy s5/s6/s7/s8, huawei and more  "
22,B08F4FXWQ8,"Ubrokeifixit Compatible Rear Panel Back Housing Door Cover Replacement with NFC Chip for LG G Stylo LS770 H634 MS631/G4 Stylus H631 H635 H540 5.7""(NOT for LG G4) (Frosted-Gray)",-1.0,4.3,"ubrokeifixit cell phones & accessories cases, holsters & sleeves basic cases ubrokeifixit compatible rear panel back housing door cover replacement with nfc chip for lg g stylo ls770 h634 ms631/g4 stylus h631 h635 h540 5.7""(not for lg g4) (frosted-gray) compatible with: for lg g stylo ls770 h634 ms631/g4 stylus h631 h635 h540 5.7"" etc. all phone carriers versions installation instructions be not included ; please confirm you can install by yourself. not responsible for any damages to your cellphone that you may cause during the changing of replacement parts logo on the rear cover. rear back cover with nfc chip. if your cellphone rear panel back cover has crackes or flaws; you should replace it via a new one.before ordering; please confirm what you really need."
23,B00MUQJORC,"ULAK iPhone 6S Case, Luxury Chrome Aluminum Coating Hard Cover with PC Bumper for Apple iPhone 6 & 6S 4.7 inch (Silver)",-1.0,4.3,"ulak cell phones & accessories cases, holsters & sleeves basic cases ulak iphone 6s case, luxury chrome aluminum coating hard cover with pc bumper for apple iphone 6 & 6s 4.7 inch (silver) iphone 6s case compatible with iphone 6s 4.7 inch 2015 release and iphone 6 4.7 inch 2014 release, will not fit iphone 6 plus 5.5 inch or iphone 6s plus 5.5 inch iphone 6s hard case made from brushed metal chrome aluminum and inner rigid pc, providing protection for your iphone while looking slim and stylish brushed metal case provides comfortable hand grip and excellent tactile feeling slim, thin and lightweight design perfectly protects your iphone 6s & iphone 6 and gives it a professional, sleek, modern look fits perfectly on your iphone 6 / iphone 6s. full access to ports, and sensitive button covers allow responsive presses iphone 6s/6 case luxury aluminum chrome coating hybrid hard case. this case using only premium quality materials, the silver color matched with precise full access to ports, buttons and all features without ever having to remove your case means you will never again have to leave your apple iphone 6/6s 4.7 naked and unprotected. with the slim, thin and lightweight design, the case gives your cellphone a professional, sleek, modern look. note: color shown in pictures might slightly differ from actual products due to different lightning and color settings."
24,B09QC96CDF,"Areziir Gapless Elegant Bands Compatible with Samsung Galaxy Watch 4/Watch 5 Band 40mm 44mm/Galaxy Watch 4 Classic 42mm 46mm/Galaxy Watch 5 Pro 45mm,Flower Silicone Pattern Replacement Strap Women Men",9.99,4.5,"areziir cell phones & accessories accessories smartwatch accessories smartwatch bands areziir gapless elegant bands compatible with samsung galaxy watch 4/watch 5 band 40mm 44mm/galaxy watch 4 classic 42mm 46mm/galaxy watch 5 pro 45mm,flower silicone pattern replacement strap women men ✅ compatible for 2021 galaxy watch 4 & 2022 galaxy watch 5: the sport silicone galaxy watch 4 /5 bands compatible with galaxy watch 4 40mm 44mm/ galaxy watch 4 classic 42mm 46mm/ galaxy watch 5 40mm 44mm/galaxy watch 5 pro 45mm (not for galaxy watch 3/ active 2 1). ✅ no gaps sports design: the gapless original design fits galaxy 4 watch 40mm 44mm 42mm 46mm & galaxy watch 5 40mm 44mm pro 45mm perfectly.and they don't stick up weirdly on the sides where the gap ""filler"" part is. ✅ super cute floral printed patterns: super easy to install and remove, and also secure. fairly comfortable,using it for a long time and have had no issues. ✅ innovative pin-and-tuck closure:closure design ensures a clean fit and allows you to choose the most comfortable size for yourself, avoid the band from falling off band being loose. the metal part is made of stainless steel, prevents skin from irritation.easy to install, and one button removal. ✅hassle-free after-sale service:we provides you with the best quality and service. if you have any questions about our watch band, please contact us, we will help you solve your problem within 24 hours. "
25,B014V1ST4M,NAKEDCELLPHONE'S Black Ribbed Rubberized Hard Shell CASE Cover + Belt Clip Holster Stand for VERIZON HTC Desire 526 526G+,-1.0,5.0,"nakedcellphone cell phones & accessories cases, holsters & sleeves holsters nakedcellphone's black ribbed rubberized hard shell case cover + belt clip holster stand for verizon htc desire 526 526g+  "
26,B0BBRQW3VS,"Sport Band Compatible with Apple Watch Bands 38mm 40mm 41mm 42mm 44mm 45mm for Women Men,Floral Silicone Printed Fadeless Pattern Strap Band for iWatch Series 3, Series 5,Series 6,Series 4,Series 7",7.98,4.6,"amsky cell phones & accessories accessories smartwatch accessories smartwatch bands sport band compatible with apple watch bands 38mm 40mm 41mm 42mm 44mm 45mm for women men,floral silicone printed fadeless pattern strap band for iwatch series 3, series 5,series 6,series 4,series 7 buckle closure ✅compatible models:amsky floral bands compatible for apple watch 38mm/40mm/41mm/42mm/44mm/45mm width;apple watch series 7 series 6 ,series 5 ,series 4 , series 3 ,series 2 , apple watch se.note: just sport band, no watch included ✅available size:38/40/41mm s/m:suitable for 5.1 ""-7.1"" (130mm-180mm) wrist; 38/40/41mm m /l:suitable for 150mm to 200mm (5.9 ""-7.9"") wrist; 42/44/45mm s/m: suitable for 140 mm - 190 mm (5.5 ""-7.5"") wrist; 42/44/45mm m/l: suitable for 160mm to 210mm (6.3 ""-8.3"") wrist.please measure your wrist or ask our customer service before your order this band. ✅new design: thoes iwatch bands for women made of the premium silicone material,with the advanced printing craft,specializing in the issues of fading and peeling off. flexible,sweat & water resistant and durable,the apple watch band lugs on both sides, locking onto apple watch precisely and securely, easy to installand remove. ✅multiple beautiful pattern print:have various fashinable and beautiful pattern,decorate your apple watch and your mood,suitable for many occasions and best gift for women, girls and frinds.give your apple watch a lovely complement and change the look of your watch just by swapping out straps. ✅24h customer service: thank you so much for choosing amsky watch band! any problems about our floral iwatch bands, please feel free to contact us. customer’s happy shopping experience is the most important for us. sport band compatible with apple watch bands 38mm 40mm 41mm 42mm 44mm 45mm for women men,floral silicone printed fadeless pattern replacement strap band for iwatch series 7,series 3, series 5,series 6,series 4"
27,B0B6ZJLCLP,"NINKI Sparkling Band Compatible Samsung Galaxy Watch 5/4 40mm 44mm/Classic 42mm 46mm/Active 2 Watch Bands Resin,（Sliver+Black Pink）20mm Stainless Steel Bracelet Band for Galaxy Watch 3 41mm/Watch 42mm",19.98,4.3,"ninki cell phones & accessories accessories smartwatch accessories smartwatch bands ninki sparkling band compatible samsung galaxy watch 5/4 40mm 44mm/classic 42mm 46mm/active 2 watch bands resin,（sliver+black pink）20mm stainless steel bracelet band for galaxy watch 3 41mm/watch 42mm buckle closure 〖wide compatibility〗- 20mm resin bling watch bands compatible with samsung galaxy watch 5 40mm 44mm/samsung galaxy watch 5 pro 45mm/samsung galaxy watch 4 40mm / 44mm, 2021 galaxy watch 4 classic 42mm / 46mm, samsung galaxy watch 42mm, galaxy watch 3 41mm, galaxy active 40mm,galaxy active 2 40mm 44mm,gear s2 classic,huawei watch gt2 42mm,garmin vivoactive 3/3 music,forerunner 645/245 music, misfit vapor,fossil q gazer, ticwatch 2 42mm, also all other 20mm lug watches,etc. (not for gear s2). 〖20mm stylish luxury crafted〗- ninki 20 mm watch band absolutely win attraction and unique appearance, combine with high quality stainless steel metal & premium resin with small shining rhinestones diamond embellishment,the watch replacement bracelet makes your watch look more classy and expensive without easy to fade,bring a beautiful shiny wrist.makes it dressy and robust wearing for daily companion. 〖adjustable perfect fit 5.5''-7.8'' wrists〗- exclusive precise design install precisely and reliably, nobleness & elegant,well polished and exquisite workmanship,the bracelet comes with adjustment tool to fit wrist size. worn this on the wrist smoothly and comfortably.this 20mm watch replacement strap also bring lots of compliments for your outfits and watch,easy to take it on or off daily. for all occassions and 5.5''-7.8'' wrists for girls, women and men (for small, medium, large wrists). 〖gorgeous colorful colors with sparkle〗- adopts two tone colorful colors blocking design: rose gold with pearl white/tortoise stone/pink flower/colorful/purple green flower, sliver+black pink flower/nougat/purple green flower, black+colorful/black pink flower/purple green flower,which is more special & elegant than ordinary resin band,lightweight than whole metal band,available for casual,business,sports and daily life.multiple choice for party, wedding,anniversaries,office,dating. 〖what you get〗- 1 x metal resin 20mm watch band & 1 * upgraded link removal tool & 3 * quick release spring lugs, band compatible samsung galaxy watch 5 bands / galaxy watch 4 band /classic / samsung active 2 watch band 40mm 44mm / galaxy watch 42mm,samsung watch 3 bands,samsung gear s2 watch classic / gear sport watch band [only band, not include watch].good gifts for birthday or festivals like christmas,new year.if there is problem or question of product,please let us know to help. "
28,B0823TGXDW,"Screen Protector Compatible with Samsung Galaxy Watch Active 2 Case 40mm, 3 Packs NAHAI Slim Plated Scractch-Resist Cover All Around Bumper for Samsung Galaxy Watch Active 2, Clear,Black,Silver",-1.0,4.3,"nahai  screen protector compatible with samsung galaxy watch active 2 case 40mm, 3 packs nahai slim plated scractch-resist cover all around bumper for samsung galaxy watch active 2, clear,black,silver  "
29,B00DL7NEFC,Importer520 Micro USB Host OTG Cable - Micro USB B/Male to USB2.0 A/Female OTG Host Cable for Samsung Epic 4G Touch D710 Galaxy S2/ SII I9100 I777,-1.0,2.0,"importer520 cell phones & accessories accessories importer520 micro usb host otg cable - micro usb b/male to usb2.0 a/female otg host cable for samsung epic 4g touch d710 galaxy s2/ sii i9100 i777 brand new generic bulk package connect your peripheral devices like mice, keyboards and more to your portable electronics such as cell phones, ereaders, tablets, and laptops with this micro usb otg (on-the-go) to usb 2.0 adapter. functions depended on the device's operating system and applications. operate small usb peripherals by plugging in the adapter cable which transforms your mobile or portable device into a usb capable unit. adapter allows you to use standard usb devices with micro 5-pin oriented electronics.connectors: standard usb 2.0 port; right angle micro usb otg connector. compatible with amazon: kindle fire / kindle touch / samsung? galaxy s2 hercules t989 (t-mobile) / galaxy s2 attain i777 (at&t) / epic 4g touch (sprint)/samsung? sgh-i927 captivate glide; galaxy s2 i9100 / samsung? galaxy nexus / samsung? n 7000 galaxy note / samsung? galaxy s2 skyrocket / samsung? galaxy note lte sgh-i717 / samsung? galaxy s2 cdma (u.s.cellular) r760, google nexus 7; samsung galaxy siv / s4,htc one m7"
